iter	Passed	Remaining
0	11	97604
1	25	102485
2	37	102010
3	49	101896
4	62	101818
5	75	102886
6	88	103912
7	101	103462
8	113	103267
9	126	103321
10	137	102255
11	149	101616
12	160	100982
13	173	101493
14	186	101714
15	203	103944
16	217	104823
17	231	105314
18	244	105172
19	256	104660
20	270	105406
21	284	105623
22	303	107868
23	318	108258
24	331	108372
25	345	108431
26	360	109072
27	372	108690
28	384	108306
29	397	108169
30	410	108101
31	423	108098
32	439	108665
33	451	108247
34	463	107910
35	474	107387
36	486	107155
37	498	106957
38	511	106876
39	522	106451
40	542	107835
41	562	109131
42	578	109688
43	593	109972
44	609	110433
45	628	111332
46	645	111818
47	660	112093
48	674	112061
49	690	112382
50	703	112274
51	718	112528
52	732	112554
53	746	112544
54	760	112525
55	772	112201
56	786	112252
57	801	112443
58	815	112416
59	829	112474
60	841	112140
61	854	112112
62	868	112075
63	881	111903
64	894	111830
65	907	111755
66	919	111533
67	934	111674
68	946	111392
69	961	111517
70	974	111506
71	987	111377
72	1000	111310
73	1022	112145
74	1035	112091
75	1049	112069
76	1063	112055
77	1076	111985
78	1090	111960
79	1103	111918
80	1117	111902
81	1133	112149
82	1147	112132
83	1160	111987
84	1173	111932
85	1185	111748
86	1198	111682
87	1212	111628
